latitude,longitude,acq_date,acq_time,confidence,frp,instrument,satellite,acq_datetime
30.10107,79.44831,2026-02-16,0743,n,4.49,VIIRS,N,2026-02-16 07:43:00
30.16334,74.51878,2026-02-16,0743,n,2.8,VIIRS,N,2026-02-16 07:43:00
30.16766,74.51757,2026-02-16,0743,n,5.77,VIIRS,N,2026-02-16 07:43:00
30.19523,78.70035,2026-02-16,0743,n,4.45,VIIRS,N,2026-02-16 07:43:00
30.26676,76.81773,2026-02-16,0743,n,1.66,VIIRS,N,2026-02-16 07:43:00
30.27493,78.86422,2026-02-16,0743,n,9.94,VIIRS,N,2026-02-16 07:43:00
30.2756,77.67059,2026-02-16,0743,n,3.42,VIIRS,N,2026-02-16 07:43:00
30.27848,77.67239,2026-02-16,0743,n,3.84,VIIRS,N,2026-02-16 07:43:00
30.27925,77.66972,2026-02-16,0743,n,3.42,VIIRS,N,2026-02-16 07:43:00
30.37203,78.93966,2026-02-16,0743,n,2.53,VIIRS,N,2026-02-16 07:43:00
30.42402,78.59652,2026-02-16,0743,n,9.93,VIIRS,N,2026-02-16 07:43:00
30.56103,76.11005,2026-02-16,0743,n,2.67,VIIRS,N,2026-02-16 07:43:00
30.5768,78.57755,2026-02-16,0743,n,4.06,VIIRS,N,2026-02-16 07:43:00
30.57952,78.5724,2026-02-16,0743,n,4.06,VIIRS,N,2026-02-16 07:43:00
30.58035,78.57705,2026-02-16,0743,n,4.06,VIIRS,N,2026-02-16 07:43:00
30.58309,78.57201,2026-02-16,0743,n,4.5,VIIRS,N,2026-02-16 07:43:00
30.59164,78.23072,2026-02-16,0743,n,7.15,VIIRS,N,2026-02-16 07:43:00
30.61755,79.22246,2026-02-16,0743,n,6.5,VIIRS,N,2026-02-16 07:43:00
30.621,79.22189,2026-02-16,0743,n,6.5,VIIRS,N,2026-02-16 07:43:00
30.62175,79.22622,2026-02-16,0743,n,9.9,VIIRS,N,2026-02-16 07:43:00
30.90058,77.79533,2026-02-16,0743,n,4.92,VIIRS,N,2026-02-16 07:43:00
31.05261,78.779,2026-02-16,0743,l,7.7,VIIRS,N,2026-02-16 07:43:00
31.05346,78.78379,2026-02-16,0743,n,7.7,VIIRS,N,2026-02-16 07:43:00
31.05431,78.78851,2026-02-16,0743,n,32.7,VIIRS,N,2026-02-16 07:43:00
31.05701,78.78352,2026-02-16,0743,n,9.63,VIIRS,N,2026-02-16 07:43:00
31.05788,78.78844,2026-02-16,0743,n,8.37,VIIRS,N,2026-02-16 07:43:00
31.11422,75.55193,2026-02-16,0743,n,6.46,VIIRS,N,2026-02-16 07:43:00
31.48717,77.54581,2026-02-16,0743,n,8.53,VIIRS,N,2026-02-16 07:43:00
31.4879,77.54979,2026-02-16,0743,n,10.16,VIIRS,N,2026-02-16 07:43:00
28.30312,77.23055,2026-02-16,2008,n,1.23,VIIRS,N,2026-02-16 20:08:00
28.32084,77.19772,2026-02-16,2008,n,0.31,VIIRS,N,2026-02-16 20:08:00
28.3677,77.26299,2026-02-16,2008,n,0.78,VIIRS,N,2026-02-16 20:08:00
28.71017,76.83458,2026-02-16,2008,n,0.84,VIIRS,N,2026-02-16 20:08:00
28.74157,76.92571,2026-02-16,2008,n,0.77,VIIRS,N,2026-02-16 20:08:00
29.46171,76.88561,2026-02-16,2008,n,1.42,VIIRS,N,2026-02-16 20:08:00
29.4731,74.67264,2026-02-16,2008,n,1.73,VIIRS,N,2026-02-16 20:08:00
30.36671,78.96743,2026-02-16,2008,n,0.82,VIIRS,N,2026-02-16 20:08:00
30.54419,78.96553,2026-02-16,2008,n,1.38,VIIRS,N,2026-02-16 20:08:00
30.65604,76.31588,2026-02-16,2008,n,0.39,VIIRS,N,2026-02-16 20:08:00
